City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
27,Carnarvon,AU,-24.8667,113.6333,50.07,93,0,9.22,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,33.91,93,90,3.4,mist
29,Tshikapa,CD,-6.4167,20.8,73.54,50,23,2.04,few clouds
30,Mataura,NZ,-46.1927,168.8643,49.48,70,100,5.82,overcast clouds
31,Butaritari,KI,3.0707,172.7902,82.74,67,97,3.44,overcast clouds
32,Kulhudhuffushi,MV,6.6221,73.07,82.08,79,100,17.65,overcast clouds
33,Lebu,CL,-37.6167,-73.65,50.58,84,66,5.21,broken clouds
34,Albany,US,42.6001,-73.9662,77.18,77,58,3.18,broken clouds
35,Iqaluit,CA,63.7506,-68.5145,35.33,80,90,15.99,overcast clouds
36,Pecos,US,31.4229,-103.4932,86.09,26,1,5.75,clear sky
37,Nishihara,JP,26.1842,127.7558,83.86,89,75,13.09,broken clouds
38,Busselton,AU,-33.65,115.3333,54.09,84,94,3.06,overcast clouds
39,Show Low,US,34.2542,-110.0298,84.49,16,20,12.66,few clouds
40,Thompson,CA,55.7435,-97.8558,60.96,72,75,11.5,broken clouds
41,Maridi,SS,4.9158,29.4742,65.89,94,84,3.87,broken clouds
42,Ilulissat,GL,69.2167,-51.1,53.62,37,3,14.97,clear sky
43,Benjamin Constant,BR,-4.3831,-70.0311,77.13,98,86,0.67,overcast clouds
44,Ferme-Neuve,CA,46.7001,-75.4493,74.98,77,78,4.16,broken clouds
45,Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,3.0,light rain
46,Qostanay,KZ,53.1667,63.5833,37.69,81,0,0.0,clear sky
47,Babayurt,RU,43.6002,46.7789,60.13,92,99,1.72,overcast clouds
48,Kampot,KH,10.6167,104.1833,84.25,81,78,8.37,broken clouds
49,Airai,TL,-8.9266,125.4092,66.09,64,67,3.94,broken clouds
50,Karasjok,NO,69.4719,25.5112,44.71,73,55,4.23,broken clouds
51,Avarua,CK,-21.2078,-159.775,78.85,73,75,14.97,light rain
52,Bethel,US,41.3712,-73.414,72.43,85,1,1.01,clear sky
53,Dikson,RU,73.5069,80.5464,29.79,97,100,14.7,light snow
54,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,84,5.99,broken clouds
55,Yagodnoye,RU,62.55,149.6667,57.65,51,1,9.37,clear sky
56,Shirokiy,RU,49.758,129.523,52.09,95,100,6.15,light rain
57,Barrow,US,71.2906,-156.7887,33.82,86,90,11.5,mist
58,Salalah,OM,17.0151,54.0924,80.69,89,40,3.44,scattered clouds
59,Honningsvag,NO,70.9821,25.9704,43.79,92,99,14.54,overcast clouds
60,Padang,ID,-0.9492,100.3543,77.16,89,100,3.04,overcast clouds
61,Marsh Harbour,BS,26.5412,-77.0636,79.14,81,84,11.59,broken clouds
62,Lavrentiya,RU,65.5833,-171.0,33.28,90,99,6.46,light snow
63,Santa Ana,US,33.7456,-117.8678,95.99,63,20,3.0,few clouds
64,Chigorodo,CO,7.6664,-76.6811,78.06,93,100,2.42,overcast clouds
65,Vostok,RU,46.4856,135.8833,56.66,72,76,5.08,broken clouds
66,Saskylakh,RU,71.9167,114.0833,35.8,78,98,10.6,overcast clouds
67,Khatanga,RU,71.9667,102.5,33.67,93,100,12.01,overcast clouds
68,Souillac,MU,-20.5167,57.5167,72.36,100,75,13.8,light rain
69,Rudbar,AF,30.15,62.6,85.73,16,0,9.6,clear sky
70,Torbay,CA,47.6666,-52.7314,55.67,97,90,23.02,overcast clouds
71,Mehamn,NO,71.0357,27.8492,44.65,92,97,17.69,overcast clouds
72,Russell,US,32.3502,-85.1999,78.51,90,1,4.43,light rain
73,Ancud,CL,-41.8697,-73.8203,47.23,82,34,9.44,light rain
74,Muros,ES,42.7762,-9.0603,55.83,69,10,9.01,clear sky
75,Pevek,RU,69.7008,170.3133,38.41,89,100,7.7,light rain
76,Bhopal,IN,23.2667,77.4,82.92,50,83,4.36,broken clouds
77,Leo,BF,11.1,-2.1,78.46,66,65,12.3,moderate rain
78,Helong,CN,42.5397,128.9972,60.75,68,87,10.76,overcast clouds
79,Olavarria,AR,-36.8927,-60.3225,57.0,71,100,7.54,overcast clouds
80,Zhangjiakou,CN,40.81,114.8794,65.82,31,7,7.0,clear sky
81,Ribeira Grande,PT,38.5167,-28.7,63.77,86,98,7.11,overcast clouds
82,Nanortalik,GL,60.1432,-45.2371,37.69,85,100,4.12,overcast clouds
83,Hobart,AU,-42.8794,147.3294,51.26,63,75,4.0,light rain
84,Santa Cruz,BO,-17.8,-63.1667,77.05,78,40,17.27,scattered clouds
85,Kandi,BJ,11.1342,2.9386,77.76,77,86,9.42,overcast clouds
86,Asau,RO,46.4333,26.4,56.39,86,18,5.46,few clouds
87,Moindou,NC,-21.6924,165.677,76.95,63,77,1.07,broken clouds
88,Upernavik,GL,72.7868,-56.1549,32.49,75,58,9.31,broken clouds
89,Hede,CN,33.7681,120.2517,78.28,45,0,17.49,clear sky
90,Nanning,CN,22.8167,108.3167,72.05,73,97,4.0,overcast clouds
91,Manali,IN,13.1667,80.2667,85.06,84,98,9.1,overcast clouds
92,Port Hardy,CA,50.6996,-127.4199,59.18,88,75,8.05,light rain
93,Arraial Do Cabo,BR,-22.9661,-42.0278,73.76,87,0,14.97,clear sky
94,Yumen,CN,40.2833,97.2,78.39,9,33,9.73,scattered clouds
95,Ostrovnoy,RU,68.0531,39.5131,46.58,76,45,5.17,scattered clouds
96,Najran,SA,17.4924,44.1277,75.85,16,0,2.77,clear sky
