City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Kenora,CA,2021-06-02 19:27:32,49.8167,-94.4337,77.97,32,75,16.11
123,Mount Isa,AU,2021-06-02 19:27:32,-20.7333,139.5,62.37,94,75,12.66
124,Flin Flon,CA,2021-06-02 19:27:32,54.7682,-101.865,82.24,30,75,10.71
125,East London,ZA,2021-06-02 19:24:50,-33.0153,27.9116,61.39,83,100,18.34
126,Gotsu,JP,2021-06-02 19:27:33,35.0,132.2167,62.89,81,100,7.05
127,Dir,PK,2021-06-02 19:27:33,35.2058,71.8756,66.79,68,0,4.79
128,Sola,VU,2021-06-02 19:24:29,-13.8833,167.55,79.39,80,100,24.72
129,Raudeberg,NO,2021-06-02 19:27:34,61.9875,5.1352,67.6,67,75,10.78
130,Mnogovershinnyy,RU,2021-06-02 19:27:34,53.9353,139.9242,41.85,96,44,0.27
131,Ixtapa,MX,2021-06-02 19:27:34,20.7,-105.2,87.03,62,75,16.11
132,Tilichiki,RU,2021-06-02 19:27:34,60.4667,166.1,43.84,66,17,1.7
133,Charyshskoye,RU,2021-06-02 19:27:35,51.3978,83.5598,61.61,85,100,5.64
134,Krasnoselkup,RU,2021-06-02 19:27:35,65.7,82.4667,38.3,63,98,9.17
135,Mantua,IT,2021-06-02 19:27:35,45.1667,10.7833,74.44,67,23,2.86
136,Morondava,MG,2021-06-02 19:27:36,-20.2833,44.2833,73.62,77,33,8.21
137,Orangeburg,US,2021-06-02 19:27:36,33.4918,-80.8557,86.4,81,90,6.91
138,Mahebourg,MU,2021-06-02 19:27:36,-20.4081,57.7,76.24,64,20,14.97
139,Khatanga,RU,2021-06-02 19:27:37,71.9667,102.5,33.28,86,100,2.84
140,Arraial Do Cabo,BR,2021-06-02 19:24:15,-22.9661,-42.0278,78.76,78,0,13.8
141,Sao Joao Da Barra,BR,2021-06-02 19:22:58,-21.6403,-41.0511,80.69,77,1,9.73
142,Carnarvon,AU,2021-06-02 19:27:37,-24.8667,113.6333,55.47,82,100,8.05
143,Vila,PT,2021-06-02 19:27:38,42.0304,-8.1588,55.74,87,100,3.6
144,Mehamn,NO,2021-06-02 19:27:38,71.0357,27.8492,64.58,47,0,5.75
145,Mayskiy,RU,2021-06-02 19:27:38,47.6931,40.1025,64.44,94,99,9.93
146,Sisophon,KH,2021-06-02 19:27:39,13.5859,102.9737,81.5,79,100,6.2
147,Srednekolymsk,RU,2021-06-02 19:27:39,67.45,153.6833,61.43,33,49,3.98
148,Dekernes,EG,2021-06-02 19:27:39,31.0876,31.595,68.65,54,0,6.33
149,Nanortalik,GL,2021-06-02 19:27:40,60.1432,-45.2371,40.6,79,100,13.94
150,Guerrero Negro,MX,2021-06-02 19:27:40,27.9769,-114.0611,71.8,53,7,13.22
151,Camacupa,AO,2021-06-02 19:27:40,-12.0167,17.4833,60.12,39,25,3.18
152,Shelburne,CA,2021-06-02 19:27:41,44.0787,-80.2041,75.27,51,100,6.91
153,Flinders,AU,2021-06-02 19:27:42,-34.5833,150.8552,54.37,85,100,1.01
154,Saskylakh,RU,2021-06-02 19:23:37,71.9167,114.0833,35.01,89,100,18.95
155,Namatanai,PG,2021-06-02 19:27:43,-3.6667,152.4333,78.19,84,83,3.94
156,Acapulco,MX,2021-06-02 19:27:43,16.8634,-99.8901,87.62,62,75,8.88
157,Bardiyah,LY,2021-06-02 19:27:43,31.7561,25.0865,69.24,69,0,12.86
158,Santa Maria,BR,2021-06-02 19:27:43,-29.6842,-53.8069,70.9,60,40,6.24
159,Kutum,SD,2021-06-02 19:25:35,14.2,24.6667,88.09,17,100,3.49
160,Deputatskiy,RU,2021-06-02 19:27:44,69.3,139.9,54.07,34,52,2.66
161,Kishi,NG,2021-06-02 19:27:44,9.0833,3.85,84.88,51,91,5.97
162,Prince Rupert,CA,2021-06-02 19:27:45,54.3161,-130.3201,59.09,94,90,10.36
163,Port Elizabeth,ZA,2021-06-02 19:27:45,-33.918,25.5701,59.29,94,90,16.11
164,Magrath,CA,2021-06-02 19:27:45,49.4167,-112.8686,84.97,21,0,6.76
165,Phan Thiet,VN,2021-06-02 19:27:46,10.9333,108.1,79.59,87,100,7.4
166,Kisangani,CD,2021-06-02 19:27:46,0.5167,25.2,72.86,86,100,1.66
167,Natal,BR,2021-06-02 19:27:46,-5.795,-35.2094,84.42,58,20,12.68
168,Saint-Augustin,CA,2021-06-02 19:25:20,51.226,-58.6502,59.63,54,72,11.81
169,Ust-Kuyga,RU,2021-06-02 19:27:47,70.0167,135.6,61.41,49,100,5.01
170,Sorso,IT,2021-06-02 19:27:47,40.8,8.5772,70.29,65,11,2.21
171,Bikin,RU,2021-06-02 19:27:47,46.8161,134.26,50.63,97,100,6.44
172,Pudozh,RU,2021-06-02 19:27:48,61.8099,36.5345,52.83,75,79,3.8
173,Tatarsk,RU,2021-06-02 19:27:48,55.219,75.9828,52.03,71,6,6.46
174,Tadine,NC,2021-06-02 19:27:48,-21.55,167.8833,69.98,62,100,7.85
175,Sabang,ID,2021-06-02 19:27:49,5.8933,95.3214,83.01,75,96,8.72
176,Camacari,BR,2021-06-02 19:25:35,-12.6975,-38.3242,73.17,89,21,6.35
177,Hailar,CN,2021-06-02 19:27:49,49.2,119.7,47.16,80,100,7.61
